Id,Label,modularity_class
abc,abc,0
anne schuchat,anne schuchat,0
biden,biden,0
blm,blm,0
breaking utah senate,breaking utah senate,0
cdc,cdc,61
chicago,chicago,0
chicago police union issues vote of no confidence,chicago police union issues vote of no confidence,0
china,china,65
coronavirus,coronavirus,0
dem,dem,0
disney,disney,0
drop bombshell report,drop bombshell report,0
florida,florida,0
fulton county,fulton county,0
georgia,georgia,0
good news of the week,good news of the week,0
henry mcmaster,henry mcmaster,0
house,house,0
ice,ice,0
intel,intel,78
iowa,iowa,0
iron dome,iron dome,0
israel,israel,91
lori lightfoot,lori lightfoot,0
nc gop state convention,nc gop state convention,0
north carolina,north carolina,0
ohio,ohio,0
orders audit,orders audit,0
pennsylvania voters strip,pennsylvania voters strip,0
republicans,republicans,0
signs heartbeat bill protecting unborn,signs heartbeat bill protecting unborn,0
texas,texas,0
tom wolf,tom wolf,0
trump,trump,1
walt disney,walt disney,0
academia,academia,2
arlington,arlington,2
calculus,calculus,2
california,california,2
cancel culture,cancel culture,2
fort meade,fort meade,2
ike,ike,2
joint operations center,joint operations center,2
king,king,2
klainerman,klainerman,2
llc,llc,2
martin luther king jr,martin luther king jr,2
maryland,maryland,2
national security agency,national security agency,2
pentagon,pentagon,23
princeton,princeton,2
"science, technology","science, technology",2
seattle,seattle,2
stem,stem,2
us cyber command,us cyber command,2
virginia,virginia,55
accident,accident,3
as a,as a,3
atheist,atheist,3
baptist,baptist,3
black,black,3
gay or,gay or,3
never,never,3
no vaxx,no vaxx,3
nurse,nurse,3
streets,streets,3
vaxx,vaxx,3
white,white,3
acute cardiac injury,acute cardiac injury,4
acute kidney injury,acute kidney injury,4
acute respiratory distress syndrome,acute respiratory distress syndrome,4
arrhythmia,arrhythmia,4
wuhan,wuhan,69
african,african,5
anthony,anthony,5
berxfchrung,berxfchrung,5
cdc knows,cdc knows,6
contiene azt,contiene azt,5
contra,contra,5
el azt,el azt,5
el remdesivir,el remdesivir,5
entre otras cosas,entre otras cosas,5
ferritinwerte,ferritinwerte,5
fue desarrollado,fue desarrollado,5
g. horwitz,g. horwitz,5
judy mikovitz,judy mikovitz,6
krebs,krebs,5
la falsa enfermedad llamada,la falsa enfermedad llamada,5
las bacterias de la,las bacterias de la,5
los adictos,los adictos,5
los animales,los animales,5
los niveles,los niveles,5
los sxedntomas,los sxedntomas,5
lungenalveole,lungenalveole,5
ojos,ojos,5
ojos negros,ojos negros,5
reizung,reizung,5
remdesivir,remdesivir,5
sida,sida,5
stefan lanca,stefan lanca,5
symptome,symptome,5
u.a,u.a,5
usa,usa,6
utilizado para el genocidio,utilizado para el genocidio,5
v.a,v.a,5
verbrechen,verbrechen,5
von g. horwitz,von g. horwitz,5
wifi,wifi,6
wurde,wurde,5
age man nn,age man nn,7
ai learning,ai learning,18
